country,date,new_customers_count,new_customers_with_deposit_count,"conversion, %"
KZ,2023-08-01,229,28,12.227
KZ,2023-08-02,192,37,19.271
KZ,2023-08-03,277,30,10.83
KZ,2023-08-04,165,21,12.727
KZ,2023-08-05,212,21,9.906
KZ,2023-08-06,139,16,11.511
KZ,2023-08-07,240,39,16.25
KZ,2023-08-08,235,37,15.745
KZ,2023-08-09,199,26,13.065
KZ,2023-08-10,119,21,17.647
KZ,2023-08-11,184,45,24.457
KZ,2023-08-12,227,44,19.383
KZ,2023-08-13,234,32,13.675
KZ,2023-08-14,232,38,16.379
KZ,2023-08-15,222,31,13.964
KZ,2023-08-16,279,35,12.545
KZ,2023-08-17,191,28,14.66
KZ,2023-08-18,151,17,11.258
KZ,2023-08-19,187,25,13.369
KZ,2023-08-20,241,29,12.033
KZ,2023-08-21,228,33,14.474
KZ,2023-08-22,230,28,12.174
KZ,2023-08-23,170,20,11.765
KZ,2023-08-24,228,29,12.719
KZ,2023-08-25,243,33,13.58
KZ,2023-08-26,545,50,9.174
KZ,2023-08-27,477,32,6.709
KZ,2023-08-28,252,27,10.714
KZ,2023-08-29,326,42,12.883
KZ,2023-08-30,419,47,11.217
KZ,2023-08-31,263,28,10.646
PT,2023-08-01,817,285,34.884
PT,2023-08-02,1222,456,37.316
PT,2023-08-03,1118,421,37.657
PT,2023-08-04,1272,452,35.535
PT,2023-08-05,1197,428,35.756
PT,2023-08-06,1035,349,33.72
PT,2023-08-07,1138,352,30.931
PT,2023-08-08,1474,509,34.532
PT,2023-08-09,1441,483,33.518
PT,2023-08-10,1341,432,32.215
PT,2023-08-11,1264,397,31.408
PT,2023-08-12,1349,415,30.764
PT,2023-08-13,1406,407,28.947
PT,2023-08-14,1280,395,30.859
PT,2023-08-15,1116,389,34.857
PT,2023-08-16,1185,405,34.177
PT,2023-08-17,1108,349,31.498
PT,2023-08-18,884,301,34.05
PT,2023-08-19,1055,346,32.796
PT,2023-08-20,1101,309,28.065
PT,2023-08-21,936,277,29.594
PT,2023-08-22,1122,312,27.807
