country,date,first_deposit_count
KZ,2023-08-01,18
KZ,2023-08-02,40
KZ,2023-08-03,27
KZ,2023-08-04,16
KZ,2023-08-05,19
KZ,2023-08-06,18
KZ,2023-08-07,34
KZ,2023-08-08,40
KZ,2023-08-09,24
KZ,2023-08-10,21
KZ,2023-08-11,43
KZ,2023-08-12,38
KZ,2023-08-13,35
KZ,2023-08-14,43
KZ,2023-08-15,30
KZ,2023-08-16,28
KZ,2023-08-17,30
KZ,2023-08-18,17
KZ,2023-08-19,26
KZ,2023-08-20,32
KZ,2023-08-21,33
KZ,2023-08-22,28
KZ,2023-08-23,23
KZ,2023-08-24,29
KZ,2023-08-25,31
KZ,2023-08-26,53
KZ,2023-08-27,37
KZ,2023-08-28,33
KZ,2023-08-29,40
KZ,2023-08-30,45
KZ,2023-08-31,38
PT,2023-08-01,241
PT,2023-08-02,414
PT,2023-08-03,386
PT,2023-08-04,418
PT,2023-08-05,406
PT,2023-08-06,342
PT,2023-08-07,350
PT,2023-08-08,496
PT,2023-08-09,452
PT,2023-08-10,441
PT,2023-08-11,385
PT,2023-08-12,382
PT,2023-08-13,357
PT,2023-08-14,379
PT,2023-08-15,396
PT,2023-08-16,416
PT,2023-08-17,351
PT,2023-08-18,325
PT,2023-08-19,345
PT,2023-08-20,331
PT,2023-08-21,277
PT,2023-08-22,327
PT,2023-08-23,348
PT,2023-08-24,327
PT,2023-08-25,410
PT,2023-08-26,299
PT,2023-08-27,329
PT,2023-08-28,322
PT,2023-08-29,335
PT,2023-08-30,467
PT,2023-08-31,439
FR,2023-08-01,75
FR,2023-08-02,117
FR,2023-08-03,226
FR,2023-08-04,30
FR,2023-08-05,25
FR,2023-08-06,67
FR,2023-08-07,99
FR,2023-08-08,198
FR,2023-08-09,290
FR,2023-08-10,312
FR,2023-08-11,362
FR,2023-08-12,273
FR,2023-08-13,238
FR,2023-08-14,251
FR,2023-08-15,221
FR,2023-08-16,208
FR,2023-08-17,178
FR,2023-08-18,147
FR,2023-08-19,115
FR,2023-08-20,113
FR,2023-08-21,86
FR,2023-08-22,85
FR,2023-08-23,84
FR,2023-08-24,84
FR,2023-08-25,64
FR,2023-08-26,80
FR,2023-08-27,89
FR,2023-08-28,83
FR,2023-08-29,95
FR,2023-08-30,132
FR,2023-08-31,132
BR,2023-08-01,331
BR,2023-08-02,507
BR,2023-08-03,523
BR,2023-08-04,649
BR,2023-08-05,773
BR,2023-08-06,806
BR,2023-08-07,464
BR,2023-08-08,434
BR,2023-08-09,343
BR,2023-08-10,244
BR,2023-08-11,246
BR,2023-08-12,233
BR,2023-08-13,225
BR,2023-08-14,135
BR,2023-08-15,199
BR,2023-08-16,252
BR,2023-08-17,238
BR,2023-08-18,132
BR,2023-08-19,209
BR,2023-08-20,186
BR,2023-08-21,172
BR,2023-08-22,250
BR,2023-08-23,264
BR,2023-08-24,210
BR,2023-08-25,162
BR,2023-08-26,182
BR,2023-08-27,152
BR,2023-08-28,118
BR,2023-08-29,119
BR,2023-08-30,167
BR,2023-08-31,176
GR,2023-08-01,76
GR,2023-08-02,87
GR,2023-08-03,77
GR,2023-08-04,110
GR,2023-08-05,98
GR,2023-08-06,98
GR,2023-08-07,90
GR,2023-08-08,87
GR,2023-08-09,79
GR,2023-08-10,129
GR,2023-08-11,151
GR,2023-08-12,152
GR,2023-08-13,159
GR,2023-08-14,177
GR,2023-08-15,148
GR,2023-08-16,108
GR,2023-08-17,121
GR,2023-08-18,120
GR,2023-08-19,137
GR,2023-08-20,121
GR,2023-08-21,90
GR,2023-08-22,124
GR,2023-08-23,119
GR,2023-08-24,112
GR,2023-08-25,98
GR,2023-08-26,131
GR,2023-08-27,139
GR,2023-08-28,106
GR,2023-08-29,130
GR,2023-08-30,114
GR,2023-08-31,146
